Q543 EXACT PROBE: odd primes 3 <= p <= 1000
All arithmetic is exact in F_p; no randomized sampling.

PER-PRIME CSV
p,h,all_candidates,raw_beta0,nondeg_candidates,nondeg_beta0,nonadj_candidates,nonadj_beta0,zeros_half,zeros_full,half_actual_pairs,full_actual_pairs,mirror_pairs,independent_pairs
3,1,1,1,0,0,0,0,-,-,0,0,0,0
5,2,3,2,1,0,0,0,1,1:3,0,1,1,0
7,3,6,3,3,0,1,0,-,-,0,0,0,0
11,5,15,6,10,1,6,1,5,5,0,0,0,0
13,6,21,8,15,2,10,2,-,-,0,0,0,0
17,8,36,8,28,0,21,0,3,3:13,0,1,1,0
19,9,45,11,36,2,28,2,8,8:10,0,1,1,0
23,11,66,14,55,3,45,3,-,-,0,0,0,0
29,14,105,16,91,2,78,2,-,-,0,0,0,0
31,15,120,18,105,3,91,3,8,8:22,0,1,1,0
37,18,171,22,153,4,136,4,17,17:19,0,1,1,0
41,20,210,23,190,3,171,3,10,10:30,0,1,1,0
43,21,231,27,210,6,190,6,-,-,0,0,0,0
47,23,276,27,253,4,231,4,-,-,0,0,0,0
53,26,351,31,325,5,300,5,-,-,0,0,0,0
59,29,435,37,406,8,378,8,9,9:49,0,1,1,0
61,30,465,38,435,8,406,8,4,4:56,0,1,1,0
67,33,561,43,528,10,496,10,-,-,0,0,0,0
71,35,630,44,595,9,561,9,-,-,0,0,0,0
73,36,666,43,630,7,595,7,2,2:70,0,1,1,0
79,39,780,53,741,14,703,14,-,-,0,0,0,0
83,41,861,51,820,10,780,10,-,-,0,0,0,0
89,44,990,52,946,8,903,8,-,-,0,0,0,0
97,48,1176,56,1128,8,1081,8,25,25:71,0,1,1,0
101,50,1275,63,1225,13,1176,13,-,-,0,0,0,0
103,51,1326,60,1275,9,1225,9,-,-,0,0,0,0
107,53,1431,65,1378,12,1326,12,-,-,0,0,0,0
109,54,1485,65,1431,11,1378,11,-,-,0,0,0,0
113,56,1596,74,1540,18,1485,18,-,-,0,0,0,0
127,63,2016,77,1953,14,1891,14,-,-,0,0,0,0
131,65,2145,79,2080,14,2016,14,-,-,0,0,0,0
137,68,2346,83,2278,15,2211,15,-,-,0,0,0,0
139,69,2415,81,2346,12,2278,12,61,61:77,0,1,1,0
149,74,2775,91,2701,17,2628,17,-,-,0,0,0,0
151,75,2850,94,2775,19,2701,19,14,14:136,0,1,1,0
157,78,3081,96,3003,18,2926,18,-,-,0,0,0,0
163,81,3321,98,3240,17,3160,17,20,20:142,0,1,1,0
167,83,3486,103,3403,20,3321,20,-,-,0,0,0,0
173,86,3741,107,3655,21,3570,21,-,-,0,0,0,0
