p,Z,zeros,K_sqrt,off_sqrt,total_sqrt,diag_sqrt,task_prediction_sqrt,off_over_task_sqrt,fixed_off_prediction_sqrt,off_over_fixed_sqrt,fixed_total_prediction_sqrt,total_over_fixed_sqrt,K_cuberoot,off_cuberoot,total_cuberoot,diag_cuberoot,task_prediction_cuberoot,off_over_task_cuberoot,fixed_off_prediction_cuberoot,off_over_fixed_cuberoot,fixed_total_prediction_cuberoot,total_over_fixed_cuberoot,E_mult,max_M_k1,max_M_k1_nonidentity,task_mult_prediction_pZ2,E_mult_over_pZ2,occupancy_mult_prediction,E_mult_over_occupancy,fixed_subset_mult_prediction,E_mult_over_fixed_subset,minimum_mult_energy,excess_over_minimum
17,2,3 13,4,2,10,8,11.7647058824,0.17,1.6,1.25,9.6,1.04166666667,2,0,4,4,4.94117647059,0,0.266666666667,0,4.26666666667,0.9375,6,2,1,68,0.0882352941176,6.13333333333,0.978260869565,6.13333333333,0.978260869565,6,0
19,2,8 10,4,0,8,8,11.3684210526,0,1.41176470588,0,9.41176470588,0.85,2,0,4,4,4.84210526316,0,0.235294117647,0,4.23529411765,0.944444444444,6,2,1,76,0.0789473684211,6.11764705882,0.980769230769,6.11764705882,0.980769230769,6,0
31,2,8 22,5,0,10,10,13.2258064516,0,1.37931034483,0,11.3793103448,0.878787878788,3,0,6,6,7.16129032258,0,0.413793103448,0,6.41379310345,0.935483870968,6,2,1,124,0.0483870967742,6.06896551724,0.988636363636,6.06896551724,0.988636363636,6,0
37,2,17 19,6,0,12,12,15.8918918919,0,1.71428571429,0,13.7142857143,0.875,3,0,6,6,6.97297297297,0,0.342857142857,0,6.34285714286,0.945945945946,6,2,1,148,0.0405405405405,6.05714285714,0.990566037736,6.05714285714,0.990566037736,6,0
41,2,10 30,6,4,16,12,15.512195122,0.25786163522,1.53846153846,2.6,13.5384615385,1.18181818182,3,2,8,6,6.87804878049,0.290780141844,0.307692307692,6.5,6.30769230769,1.26829268293,6,2,1,164,0.0365853658537,6.05128205128,0.991525423729,6.05128205128,0.991525423729,6,0
59,2,9 49,7,2,16,14,17.3220338983,0.115459882583,1.47368421053,1.35714285714,15.4736842105,1.03401360544,3,0,6,6,6.61016949153,0,0.210526315789,0,6.21052631579,0.966101694915,6,2,1,236,0.0254237288136,6.0350877193,0.994186046512,6.0350877193,0.994186046512,6,0
61,2,4 56,7,0,14,14,17.2131147541,0,1.42372881356,0,15.4237288136,0.907692307692,3,0,6,6,6.59016393443,0,0.203389830508,0,6.20338983051,0.967213114754,6,2,1,244,0.0245901639344,6.03389830508,0.994382022472,6.03389830508,0.994382022472,6,0
73,2,2 70,8,0,16,16,19.5068493151,0,1.57746478873,0,17.5774647887,0.910256410256,4,0,8,8,8.87671232877,0,0.338028169014,0,8.33802816901,0.959459459459,6,2,1,292,0.0205479452055,6.02816901408,0.995327102804,6.02816901408,0.995327102804,6,0
97,2,25 71,9,0,18,18,21.3402061856,0,1.51578947368,0,19.5157894737,0.922330097087,4,0,8,8,8.65979381443,0,0.252631578947,0,8.25263157895,0.969387755102,6,2,1,388,0.0154639175258,6.02105263158,0.996503496503,6.02105263158,0.996503496503,6,0
139,2,61 77,11,2,24,22,25.4820143885,0.0784867306606,1.60583941606,1.24545454545,23.6058394161,1.01669758813,5,0,10,10,10.7194244604,0,0.29197080292,0,10.2919708029,0.971631205674,6,2,1,556,0.0107913669065,6.01459854015,0.997572815534,6.01459854015,0.997572815534,6,0
151,2,14 136,12,0,24,24,27.8145695364,0,1.77181208054,0,25.7718120805,0.93125,5,0,10,10,10.6622516556,0,0.268456375839,0,10.2684563758,0.97385620915,6,2,1,604,0.00993377483444,6.01342281879,0.997767857143,6.01342281879,0.997767857143,6,0
163,2,20 142,12,4,28,24,27.5337423313,0.145276292335,1.6397515528,2.43939393939,25.6397515528,1.09205426357,5,2,12,10,10.6134969325,0.188439306358,0.248447204969,8.05,10.248447205,1.17090909091,6,2,1,652,0.00920245398773,6.01242236025,0.997933884298,6.01242236025,0.997933884298,6,0
179,2,36 142,13,0,26,26,29.7765363128,0,1.76271186441,0,27.7627118644,0.936507936508,5,0,10,10,10.5586592179,0,0.225988700565,0,10.2259887006,0.977900552486,6,2,1,716,0.00837988826816,6.01129943503,0.998120300752,6.01129943503,0.998120300752,6,0
181,4,19 47 133 161,13,16,68,52,66.9392265193,0.239022779795,10.4581005587,1.52991452991,62.4581005587,1.08872987478,5,2,22,20,22.2099447514,0.0900497512438,1.34078212291,1.49166666667,21.3407821229,1.03089005236,28,4,1,2896,0.00966850828729,28.7374301676,0.97433903577,28.470031247,0.983490315028,28,0
191,2,81 109,13,4,30,26,29.5392670157,0.135412974123,1.65079365079,2.42307692308,27.6507936508,1.0849598163,5,0,10,10,10.5235602094,0,0.21164021164,0,10.2116402116,0.979274611399,6,2,1,764,0.00785340314136,6.01058201058,0.99823943662,6.01058201058,0.99823943662,6,0
193,4,30 64 128 162,13,18,70,52,66.0103626943,0.272684458399,9.80104712042,1.83653846154,61.8010471204,1.13266689258,5,4,24,20,22.0725388601,0.181220657277,1.25654450262,3.18333333333,21.2565445026,1.12906403941,28,4,1,3088,0.00906735751295,28.6910994764,0.975912408759,28.4404554143,0.984513067465,28,0
197,2,44 152,14,0,28,28,31.9796954315,0,1.86666666667,0,29.8666666667,0.9375,5,0,10,10,10.5076142132,0,0.205128205128,0,10.2051282051,0.979899497487,6,2,1,788,0.00761421319797,6.01025641026,0.998293515358,6.01025641026,0.998293515358,6,0
211,2,100 110,14,2,30,28,31.7156398104,0.0630603705918,1.74162679426,1.14835164835,29.7416267943,1.00868725869,5,0,10,10,10.4739336493,0,0.191387559809,0,10.1913875598,0.981220657277,6,2,1,844,0.00710900473934,6.00956937799,0.998407643312,6.00956937799,0.998407643312,6,0
227,2,73 153,15,0,30,30,33.9647577093,0,1.86666666667,0,31.8666666667,0.941422594142,6,0,12,12,12.6343612335,0,0.266666666667,0,12.2666666667,0.978260869565,6,2,1,908,0.00660792951542,6.00888888889,0.998520710059,6.00888888889,0.998520710059,6,0
233,2,39 193,15,0,30,30,33.8626609442,0,1.81818181818,0,31.8181818182,0.942857142857,6,0,12,12,12.6180257511,0,0.25974025974,0,12.2597402597,0.978813559322,6,2,1,932,0.00643776824034,6.00865800866,0.99855907781,6.00865800866,0.99855907781,6,0
241,2,89 151,15,0,30,30,33.734439834,0,1.75732217573,0,31.7573221757,0.944664031621,6,0,12,12,12.5975103734,0,0.251046025105,0,12.2510460251,0.979508196721,6,2,1,964,0.00622406639004,6.00836820084,0.99860724234,6.00836820084,0.99860724234,6,0
251,2,114 136,15,2,32,30,33.5856573705,0.0595492289442,1.68674698795,1.18571428571,31.686746988,1.00988593156,6,0,12,12,12.5737051793,0,0.240963855422,0,12.2409638554,0.98031496063,6,2,1,1004,0.00597609561753,6.00803212851,0.998663101604,6.00803212851,0.998663101604,6,0
257,2,72 184,16,0,32,32,35.9844357977,0,1.88235294118,0,33.8823529412,0.944444444444,6,0,12,12,12.560311284,0,0.235294117647,0,12.2352941176,0.980769230769,6,2,1,1028,0.00583657587549,6.00784313725,0.998694516971,6.00784313725,0.998694516971,6,0
271,4,17 41 229 253,16,14,78,64,79.1143911439,0.176958955224,10.7063197026,1.30763888889,74.7063197026,1.0440883758,6,0,24,24,26.1254612546,0,1.33828996283,0,25.3382899628,0.947183098592,28,4,1,4336,0.00645756457565,28.4907063197,0.982776617954,28.3126018128,0.988958916074,28,0
283,2,140 142,16,0,32,32,35.6183745583,0,1.70818505338,0,33.7081850534,0.949324324324,6,0,12,12,12.5088339223,0,0.213523131673,0,12.2135231317,0.982517482517,6,2,1,1132,0.00530035335689,6.00711743772,0.998815165877,6.00711743772,0.998815165877,6,0
293,4,47 83 209 245,17,16,84,68,83.7815699659,0.190972788007,11.2164948454,1.42647058824,79.2164948454,1.06038521603,6,2,26,24,25.9658703072,0.0770241850683,1.23711340206,1.61666666667,25.2371134021,1.03022875817,28,4,1,4688,0.00597269624573,28.4536082474,0.984057971014,28.2889451718,0.989785933339,28,0
307,2,86 220,17,0,34,34,37.7654723127,0,1.78360655738,0,35.7836065574,0.95015576324,6,0,12,12,12.4690553746,0,0.196721311475,0,12.1967213115,0.983870967742,6,2,1,1228,0.00488599348534,6.00655737705,0.998908296943,6.00655737705,0.998908296943,6,0
331,2,109 221,18,0,36,36,39.915407855,0,1.86018237082,0,37.8601823708,0.950867052023,6,0,12,12,12.4350453172,0,0.182370820669,0,12.1823708207,0.98502994012,6,2,1,1324,0.00453172205438,6.00607902736,0.998987854251,6.00607902736,0.998987854251,6,0
347,2,118 228,18,0,36,36,39.734870317,0,1.77391304348,0,37.7739130435,0.953038674033,7,0,14,14,14.5648414986,0,0.24347826087,0,14.2434782609,0.982905982906,6,2,1,1388,0.00432276657061,6.00579710145,0.999034749035,6.00579710145,0.999034749035,6,0
367,2,182 184,19,0,38,38,41.9346049046,0,1.87397260274,0,39.8739726027,0.953002610966,7,0,14,14,14.5340599455,0,0.230136986301,0,14.2301369863,0.983827493261,6,2,1,1468,0.00408719346049,6.00547945205,0.999087591241,6.00547945205,0.999087591241,6,0
379,6,85 152 171 207 226 293,19,40,154,114,148.290237467,0.269741290346,27.2148541114,1.46978557505,141.214854111,1.09053683459,7,6,48,42,46.654353562,0.128605361384,3.34217506631,1.79523809524,45.3421750663,1.05861705862,66,6,1,13644,0.00483729111697,68.3076923077,0.966216216216,67.6736339523,0.975269039735,66,0
419,2,161 257,20,2,42,40,43.8186157518,0.0456427015251,1.82254196643,1.09736842105,41.8225419664,1.00424311927,7,0,14,14,14.4677804296,0,0.201438848921,0,14.2014388489,0.985815602837,6,2,1,1676,0.0035799522673,6.00479616307,0.999201277955,6.00479616307,0.999201277955,6,0
431,2,56 374,20,2,42,40,43.7122969838,0.0457537154989,1.77156177156,1.12894736842,41.7715617716,1.00546875,7,0,14,14,14.4547563805,0,0.195804195804,0,14.1958041958,0.986206896552,6,2,1,1724,0.00348027842227,6.00466200466,0.999223602484,6.00466200466,0.999223602484,6,0
433,2,195 237,20,2,42,40,43.6951501155,0.0457716701903,1.76334106729,1.13421052632,41.7633410673,1.00566666667,7,0,14,14,14.4526558891,0,0.194895591647,0,14.1948955916,0.986270022883,6,2,1,1732,0.00346420323326,6.00464037123,0.999227202473,6.00464037123,0.999227202473,6,0
439,2,140 298,20,2,42,40,43.6446469248,0.0458246346555,1.73913043478,1.15,41.7391304348,1.00625,7,0,14,14,14.4464692483,0,0.192219679634,0,14.1922196796,0.986455981941,6,2,1,1756,0.00341685649203,6.00457665904,0.999237804878,6.00457665904,0.999237804878,6,0
443,2,168 274,21,2,44,42,45.9819413093,0.0434953362788,1.90476190476,1.05,43.9047619048,1.0021691974,7,0,14,14,14.4424379233,0,0.190476190476,0,14.1904761905,0.986577181208,6,2,1,1772,0.00338600451467,6.00453514739,0.999244712991,6.00453514739,0.999244712991,6,0
463,2,53 409,21,2,44,42,45.8099352052,0.0436586515794,1.82212581345,1.09761904762,43.8221258134,1.00405900406,7,0,14,14,14.4233261339,0,0.182212581345,0,14.1822125813,0.987152034261,6,2,1,1852,0.00323974082073,6.00433839479,0.999277456647,6.00433839479,0.999277456647,6,0
499,6,67 170 203 295 328 431,22,26,158,132,166.917835671,0.155765259569,27.8873239437,0.932323232323,159.887323944,0.988195912615,7,4,46,42,45.5350701403,0.0878443798961,2.53521126761,1.57777777778,44.5352112676,1.03289057559,66,6,1,17964,0.00367401469606,67.7505030181,0.974162508909,67.2690689592,0.981134435501,66,0
503,2,61 441,22,0,44,44,47.8489065606,0,1.84431137725,0,45.8443113772,0.959770114943,7,0,14,14,14.3896620278,0,0.167664670659,0,14.1676646707,0.988165680473,6,2,1,2012,0.00298210735586,6.00399201597,0.999335106383,6.00399201597,0.999335106383,6,0
541,2,4 536,23,0,46,46,49.9112754159,0,1.87755102041,0,47.8775510204,0.960784313725,8,0,16,16,16.4731977819,0,0.207792207792,0,16.2077922078,0.987179487179,6,2,1,2164,0.00277264325323,6.00371057514,0.999381953028,6.00371057514,0.999381953028,6,0
571,2,140 430,23,0,46,46,49.7057793345,0,1.77855887522,0,47.7785588752,0.962774957699,8,0,16,16,16.4483362522,0,0.19683655536,0,16.1968365554,0.987847222222,6,2,1,2284,0.00262697022767,6.00351493849,0.999414519906,6.00351493849,0.999414519906,6,0
577,2,112 464,24,2,50,48,51.993067591,0.0384666666667,1.92,1.04166666667,49.92,1.0016025641,8,0,16,16,16.4436741768,0,0.194782608696,0,16.1947826087,0.987972508591,6,2,1,2308,0.00259965337955,6.00347826087,0.999420625724,6.00347826087,0.999420625724,6,0
593,2,162 430,24,0,48,48,51.8853288364,0,1.86802030457,0,49.8680203046,0.962540716612,8,0,16,16,16.431703204,0,0.189509306261,0,16.1895093063,0.988294314381,6,2,1,2372,0.00252951096121,6.00338409475,0.999436302142,6.00338409475,0.999436302142,6,0
599,4,145 272 326 453,24,14,110,96,111.385642738,0.125689448441,11.0954773869,1.26177536232,107.095477387,1.02712087087,8,2,34,32,33.7095158598,0.0593304278922,1.1256281407,1.77678571429,33.1256281407,1.02639563107,28,4,1,9584,0.00292153589316,28.2211055276,0.992165242165,28.1407710823,0.99499761105,28,0
617,2,298 318,24,2,50,48,51.734197731,0.0386591478697,1.79512195122,1.11413043478,49.7951219512,1.00411442006,8,0,16,16,16.414910859,0,0.182113821138,0,16.1821138211,0.988745980707,6,2,1,2468,0.00243111831442,6.00325203252,0.999458288191,6.00325203252,0.999458288191,6,0
631,2,112 518,25,2,52,50,53.9619651347,0.0370631424376,1.90779014308,1.04833333333,51.9077901431,1.00177641654,8,0,16,16,16.4057052298,0,0.178060413355,0,16.1780604134,0.988993710692,6,2,1,2524,0.00237717908082,6.00317965024,0.999470338983,6.00317965024,0.999470338983,6,0
659,2,76 582,25,2,52,50,53.7936267071,0.0371791255289,1.82648401826,1.095,51.8264840183,1.00334801762,8,0,16,16,16.3884673748,0,0.170471841705,0,16.1704718417,0.989457831325,6,2,1,2636,0.00227617602428,6.00304414003,0.999492900609,6.00304414003,0.999492900609,6,0
691,2,337 353,26,2,54,52,55.9131693198,0.0357697484212,1.88679245283,1.06,53.8867924528,1.00210084034,8,0,16,16,16.3704775687,0,0.162554426705,0,16.1625544267,0.989942528736,6,2,1,2764,0.00217076700434,6.00290275762,0.999516441006,6.00290275762,0.999516441006,6,0
