X,p,Z,center_hit,reflection_ok,endpoint_free,zeros
32,37,2,0,1,1,17 19
32,41,2,0,1,1,10 30
32,43,0,0,1,1,
32,47,0,0,1,1,
32,53,0,0,1,1,
32,59,2,0,1,1,9 49
32,61,2,0,1,1,4 56
64,67,0,0,1,1,
64,71,0,0,1,1,
64,73,2,0,1,1,2 70
64,79,0,0,1,1,
64,83,0,0,1,1,
64,89,0,0,1,1,
64,97,2,0,1,1,25 71
64,101,0,0,1,1,
64,103,0,0,1,1,
64,107,0,0,1,1,
64,109,0,0,1,1,
64,113,0,0,1,1,
64,127,0,0,1,1,
128,131,0,0,1,1,
128,137,0,0,1,1,
128,139,2,0,1,1,61 77
128,149,0,0,1,1,
128,151,2,0,1,1,14 136
128,157,0,0,1,1,
128,163,2,0,1,1,20 142
128,167,0,0,1,1,
128,173,0,0,1,1,
128,179,2,0,1,1,36 142
128,181,4,0,1,1,19 47 133 161
128,191,2,0,1,1,81 109
128,193,4,0,1,1,30 64 128 162
128,197,2,0,1,1,44 152
128,199,0,0,1,1,
128,211,2,0,1,1,100 110
128,223,0,0,1,1,
128,227,2,0,1,1,73 153
128,229,0,0,1,1,
128,233,2,0,1,1,39 193
128,239,0,0,1,1,
128,241,2,0,1,1,89 151
128,251,2,0,1,1,114 136
256,257,2,0,1,1,72 184
256,263,0,0,1,1,
256,269,0,0,1,1,
256,271,4,0,1,1,17 41 229 253
256,277,0,0,1,1,
256,281,0,0,1,1,
256,283,2,0,1,1,140 142
256,293,4,0,1,1,47 83 209 245
256,307,2,0,1,1,86 220
256,311,0,0,1,1,
256,313,0,0,1,1,
256,317,0,0,1,1,
256,331,2,0,1,1,109 221
256,337,0,0,1,1,
256,347,2,0,1,1,118 228
256,349,0,0,1,1,
256,353,0,0,1,1,
256,359,0,0,1,1,
256,367,2,0,1,1,182 184
256,373,0,0,1,1,
256,379,6,0,1,1,85 152 171 207 226 293
256,383,0,0,1,1,
256,389,0,0,1,1,
256,397,0,0,1,1,
256,401,0,0,1,1,
256,409,0,0,1,1,
256,419,2,0,1,1,161 257
256,421,0,0,1,1,
256,431,2,0,1,1,56 374
256,433,2,0,1,1,195 237
256,439,2,0,1,1,140 298
256,443,2,0,1,1,168 274
256,449,0,0,1,1,
256,457,0,0,1,1,
256,461,0,0,1,1,
256,463,2,0,1,1,53 409
256,467,0,0,1,1,
256,479,0,0,1,1,
256,487,0,0,1,1,
256,491,0,0,1,1,
256,499,6,0,1,1,67 170 203 295 328 431
256,503,2,0,1,1,61 441
256,509,0,0,1,1,
